student_id,balance,phone,email,first_name,last_name,emergency_contact,spartan_card_no,department,course,enrollment_year
S758751386,389,(886) 291-2799,paul.rodriguez@gmail.com,Paul,Rodriguez,(886) 291-2799,95851936,Political Science,BS (Political Theory),2023
S143033698,427,(806) 865-0863,natalie.schmidt@yahoo.com,Natalie,Schmidt,(806) 865-0863,99929175,Sociology,BS (Social Research),2025
S730263770,475,(916) 247-3149,kristine.james@hotmail.com,Kristine,James,(916) 247-3149,68816911,Economics,BS (Development Economics),2023
S414833875,183,(180) 635-6512,ricky.lopez@yahoo.com,Ricky,Lopez,(180) 635-6512,40277201,Anthropology,BS (Cultural Anthropology),2022
S470021381,380,(368) 872-5887,melissa.henderson@yahoo.com,Melissa,Henderson,(368) 872-5887,20066654,Psychology,MS (Industrial Psychology),2024
S993987466,180,(213) 865-8902,vanessa.lane@yahoo.com,Vanessa,Lane,(213) 865-8902,68277389,English,BS (English Literature),2022
S039459562,125,(435) 190-6698,sara.graham@yahoo.com,Sara,Graham,(435) 190-6698,22873617,Geography,BS (Human Geography),2023
S354000864,113,(843) 098-8392,sonya.wilkins@hotmail.com,Sonya,Wilkins,(843) 098-8392,23017361,English,BS (English Literature),2025
S269417482,378,(214) 656-6938,barry.allen@gmail.com,Barry,Allen,(214) 656-6938,96149847,Computer Science,BS (Artificial Intelligence),2025
S333104285,485,(848) 955-4393,jillian.jones@yahoo.com,Jillian,Jones,(848) 955-4393,30284415,Computer Science,BS (Artificial Intelligence),2022
